order_id,user_id,order_date,pay_time,province,channel,order_status,gross_amount,discount_amount,paid_amount
O000060,U00499,2026-04-05,2026-04-05 17:31:00,广东,自然流量,paid,386.26,11.62,374.64
O000061,U00461,2026-04-05,2026-04-05 22:43:00,上海,广告,paid,471.8,18.36,453.44
O000062,U00550,2026-04-05,2026-04-05 12:00:00,上海,自然流量,paid,298.84,17.58,281.26
O000063,U00052,2026-04-05,2026-04-05 11:31:00,浙江,广告,paid,1115.88,168.27,947.61
O000064,U00631,2026-04-05,2026-04-05 12:20:00,北京,自然流量,paid,581.46,65.21,516.25
O000065,U00219,2026-04-05,2026-04-05 19:35:00,上海,直播,paid,243.87,11.43,232.44
O000066,U00250,2026-04-05,2026-04-05 08:00:00,湖北,广告,paid,473.12,46.33,426.79
O000067,U00092,2026-04-05,2026-04-05 22:26:00,江苏,推荐,paid,236.56,28.95,207.61
O000068,U00179,2026-04-05,2026-04-05 17:22:00,山东,推荐,paid,433.8,66.04,367.76
O000069,U00572,2026-04-05,2026-04-05 15:29:00,四川,自然流量,paid,51.69,9.19,42.5
O000070,U00676,2026-04-05,2026-04-05 13:10:00,四川,自然流量,paid,574.73,55.12,519.61
O000071,U00045,2026-04-05,2026-04-05 09:06:00,山东,自然流量,paid,338.69,47.87,290.82
O000072,U00551,2026-04-05,2026-04-05 18:26:00,广东,自然流量,paid,325.97,29.72,296.25
O000073,U00694,2026-04-05,2026-04-05 20:57:00,山东,直播,paid,555.48,88.42,467.06
O000074,U00483,2026-04-05,2026-04-05 12:29:00,北京,推荐,paid,1008.32,82.65,925.67
O000075,U00648,2026-04-05,2026-04-05 22:29:00,江苏,搜索,paid,194.39,8.13,186.26
O000076,U00779,2026-04-05,2026-04-05 21:54:00,北京,搜索,paid,616.98,35.02,581.96
O000077,U00222,2026-04-05,2026-04-05 15:57:00,湖北,推荐,paid,397.62,28.77,368.85
O000078,U00153,2026-04-05,2026-04-05 09:27:00,北京,广告,paid,57.0,8.15,48.85
O000079,U00491,2026-04-05,2026-04-05 21:13:00,广东,直播,paid,477.75,10.5,467.25
O000080,U00303,2026-04-05,,四川,自然流量,cancelled,175.12,19.48,0.0
O000081,U00475,2026-04-05,2026-04-05 10:24:00,湖北,直播,paid,232.89,4.71,228.18
O000082,U00341,2026-04-05,2026-04-05 09:32:00,湖北,推荐,paid,842.0,115.96,726.04
O000083,U00691,2026-04-05,2026-04-05 10:35:00,湖北,搜索,paid,548.31,26.34,521.97
O000084,U00210,2026-04-05,2026-04-05 14:48:00,浙江,自然流量,paid,387.9,61.82,326.08
O000085,U00231,2026-04-05,2026-04-05 23:32:00,北京,搜索,paid,382.45,28.77,353.68
O000086,U00126,2026-04-05,2026-04-05 10:12:00,江苏,搜索,paid,625.22,106.63,518.59
O000087,U00469,2026-04-05,2026-04-05 23:09:00,四川,自然流量,paid,172.19,22.65,149.54
O000088,U00643,2026-04-06,2026-04-06 08:18:00,江苏,自然流量,paid,271.37,37.46,233.91
O000089,U00023,2026-04-06,2026-04-06 17:36:00,上海,直播,paid,1492.2,136.15,1356.05
O000090,U00314,2026-04-06,2026-04-06 22:10:00,山东,自然流量,paid,265.95,20.35,245.6
O000091,U00165,2026-04-06,2026-04-06 18:22:00,四川,推荐,paid,1139.46,151.71,987.75
O000092,U00460,2026-04-06,2026-04-06 22:59:00,四川,推荐,paid,420.37,18.19,402.18
O000093,U00005,2026-04-06,2026-04-06 12:51:00,浙江,广告,paid,263.4,45.05,218.35
O000094,U00453,2026-04-06,2026-04-06 20:39:00,北京,搜索,paid,57.91,4.01,53.9
O000095,U00457,2026-04-06,2026-04-06 16:12:00,广东,搜索,paid,350.01,59.4,290.61
O000096,U00404,2026-04-06,2026-04-06 21:23:00,江苏,自然流量,paid,1198.28,52.33,1145.95
O000097,U00013,2026-04-06,2026-04-06 21:46:00,四川,搜索,paid,2946.27,516.36,2429.91
O000098,U00143,2026-04-06,2026-04-06 10:59:00,山东,直播,paid,592.53,105.39,487.14
O000099,U00775,2026-04-06,2026-04-06 12:12:00,江苏,搜索,paid,367.1,49.06,318.04
O000100,U00391,2026-04-06,2026-04-06 16:19:00,广东,搜索,paid,1107.36,22.58,1084.78
O000101,U00652,2026-04-06,2026-04-06 10:38:00,江苏,搜索,paid,104.67,6.74,97.93
O000102,U00596,2026-04-06,2026-04-06 08:54:00,山东,搜索,paid,800.91,63.84,737.07
O000103,U00596,2026-04-06,2026-04-06 17:18:00,山东,自然流量,paid,649.16,49.96,599.2
O000104,U00079,2026-04-06,2026-04-06 18:52:00,广东,搜索,paid,45.05,3.23,41.82
O000105,U00309,2026-04-06,2026-04-06 17:23:00,山东,自然流量,paid,238.18,5.26,232.92
O000106,U00422,2026-04-06,2026-04-06 11:26:00,北京,搜索,paid,560.48,82.51,477.97
O000107,U00079,2026-04-06,2026-04-06 18:11:00,广东,自然流量,paid,316.92,47.77,269.15
O000108,U00030,2026-04-06,2026-04-06 10:27:00,广东,推荐,paid,49.89,2.67,47.22
O000109,U00115,2026-04-06,2026-04-06 16:02:00,北京,自然流量,paid,341.42,13.32,328.1
O000110,U00617,2026-04-06,2026-04-06 16:37:00,浙江,自然流量,paid,302.94,42.23,260.71
O000111,U00165,2026-04-06,2026-04-06 08:33:00,四川,直播,paid,190.19,21.4,168.79
O000112,U00197,2026-04-06,2026-04-06 13:28:00,江苏,广告,paid,1229.52,161.93,1067.59
O000113,U00110,2026-04-06,2026-04-06 18:07:00,山东,自然流量,paid,499.39,70.83,428.56
O000114,U00533,2026-04-06,2026-04-06 22:14:00,山东,自然流量,paid,517.64,71.32,446.32
O000115,U00298,2026-04-06,2026-04-06 10:07:00,湖北,广告,paid,482.32,43.45,438.87
O000116,U00411,2026-04-06,,四川,推荐,cancelled,844.47,71.51,0.0
O000117,U00435,2026-04-06,2026-04-06 20:31:00,江苏,推荐,paid,1346.68,170.58,1176.1
O000118,U00151,2026-04-06,2026-04-06 09:53:00,山东,直播,paid,513.62,12.72,500.9
O000119,U00335,2026-04-06,2026-04-06 22:12:00,湖北,自然流量,paid,180.89,17.86,163.03
O000120,U00510,2026-04-06,2026-04-06 21:56:00,江苏,搜索,paid,218.12,5.47,212.65
O000121,U00393,2026-04-06,2026-04-06 17:56:00,广东,搜索,paid,215.33,33.95,181.38
O000122,U00504,2026-04-06,2026-04-06 23:30:00,浙江,搜索,paid,343.34,37.29,306.05
O000123,U00161,2026-04-06,2026-04-06 18:03:00,北京,搜索,paid,508.01,89.64,418.37
O000124,U00760,2026-04-06,2026-04-06 19:03:00,上海,推荐,paid,507.22,39.15,468.07
O000125,U00254,2026-04-06,2026-04-06 18:02:00,湖北,自然流量,paid,467.38,22.04,445.34
O000126,U00433,2026-04-06,2026-04-06 20:20:00,广东,推荐,paid,275.29,22.14,253.15
O000127,U00501,2026-04-06,2026-04-06 17:23:00,北京,自然流量,paid,426.82,19.92,406.9
O000128,U00207,2026-04-06,2026-04-06 10:45:00,湖北,搜索,paid,1700.31,95.46,1604.85
O000129,U00098,2026-04-06,2026-04-06 17:32:00,山东,推荐,paid,270.19,39.8,230.39
O000130,U00444,2026-04-06,2026-04-06 13:56:00,四川,推荐,paid,316.45,44.98,271.47
O000131,U00219,2026-04-06,2026-04-06 17:54:00,上海,推荐,paid,1565.86,218.33,1347.53
O000132,U00327,2026-04-06,2026-04-06 15:25:00,湖北,直播,paid,197.87,9.04,188.83
O000133,U00154,2026-04-06,2026-04-06 12:01:00,山东,自然流量,paid,701.66,31.92,669.74
O000134,U00285,2026-04-06,2026-04-06 21:57:00,北京,推荐,paid,721.36,21.77,699.59
O000135,U00674,2026-04-06,2026-04-06 16:31:00,浙江,直播,paid,1181.43,180.33,1001.1
O000136,U00244,2026-04-06,2026-04-06 21:13:00,江苏,推荐,paid,641.76,89.23,552.53
O000137,U00180,2026-04-06,2026-04-06 18:34:00,北京,自然流量,paid,600.8,103.21,497.59
O000138,U00700,2026-04-06,2026-04-06 09:53:00,浙江,自然流量,paid,219.02,36.1,182.92
O000139,U00056,2026-04-06,2026-04-06 11:34:00,四川,推荐,paid,626.46,82.75,543.71
O000140,U00454,2026-04-06,2026-04-06 17:13:00,浙江,搜索,paid,346.98,48.95,298.03
O000141,U00165,2026-04-06,2026-04-06 18:45:00,四川,广告,paid,402.0,55.44,346.56
O000142,U00103,2026-04-06,2026-04-06 18:29:00,山东,直播,paid,473.73,50.99,422.74
O000143,U00781,2026-04-06,2026-04-06 10:07:00,湖北,自然流量,paid,156.65,10.79,145.86
O000144,U00529,2026-04-06,2026-04-06 18:28:00,浙江,推荐,paid,571.72,83.94,487.78
O000145,U00753,2026-04-06,2026-04-06 13:25:00,上海,自然流量,paid,978.98,84.5,894.48
O000146,U00585,2026-04-06,,山东,自然流量,cancelled,2069.76,174.2,0.0
O000147,U00267,2026-04-06,,湖北,自然流量,cancelled,430.05,38.54,0.0
O000148,U00690,2026-04-06,2026-04-06 14:38:00,四川,搜索,paid,362.67,14.81,347.86
O000149,U00290,2026-04-06,2026-04-06 22:58:00,上海,推荐,paid,56.76,3.27,53.49
O000150,U00597,2026-04-06,2026-04-06 14:45:00,四川,推荐,paid,364.32,30.46,333.86
O000151,U00434,2026-04-06,2026-04-06 19:38:00,浙江,推荐,paid,668.6,63.75,604.85
O000152,U00613,2026-04-06,2026-04-06 19:08:00,浙江,推荐,paid,198.5,16.51,181.99
O000153,U00573,2026-04-06,2026-04-06 18:45:00,四川,自然流量,paid,1015.18,41.73,973.45
O000154,U00146,2026-04-06,2026-04-06 13:20:00,山东,自然流量,paid,1581.15,110.81,1470.34
O000155,U00504,2026-04-06,2026-04-06 22:27:00,浙江,直播,paid,520.13,24.01,496.12
O000156,U00042,2026-04-07,,江苏,搜索,cancelled,646.55,102.61,0.0
O000157,U00096,2026-04-07,2026-04-07 13:26:00,上海,自然流量,paid,891.09,18.41,872.68
O000158,U00253,2026-04-07,2026-04-07 18:09:00,湖北,直播,paid,732.77,126.18,606.59
O000159,U00276,2026-04-07,2026-04-07 20:05:00,山东,推荐,paid,2029.3,218.24,1811.06
O000160,U00183,2026-04-07,2026-04-07 17:41:00,四川,自然流量,paid,1066.76,154.38,912.38
O000161,U00670,2026-04-07,2026-04-07 20:30:00,江苏,自然流量,paid,421.8,38.5,383.3
O000162,U00615,2026-04-07,2026-04-07 12:59:00,湖北,搜索,paid,952.09,122.09,830.0
O000163,U00645,2026-04-07,2026-04-07 12:43:00,北京,推荐,paid,279.04,12.22,266.82
O000164,U00255,2026-04-07,2026-04-07 21:06:00,湖北,搜索,paid,361.32,36.75,324.57
O000165,U00738,2026-04-07,2026-04-07 22:11:00,北京,推荐,paid,126.73,17.55,109.18
O000166,U00403,2026-04-07,2026-04-07 13:13:00,山东,自然流量,paid,1333.6,222.58,1111.02
O000167,U00765,2026-04-07,2026-04-07 13:41:00,浙江,广告,paid,567.35,21.94,545.41
O000168,U00709,2026-04-07,2026-04-07 20:51:00,四川,搜索,paid,746.53,97.38,649.15
O000169,U00129,2026-04-07,2026-04-07 14:05:00,上海,自然流量,paid,796.34,95.7,700.64
O000170,U00475,2026-04-07,2026-04-07 08:55:00,湖北,自然流量,paid,520.29,50.78,469.51
O000171,U00249,2026-04-07,2026-04-07 17:02:00,北京,自然流量,paid,1047.08,163.11,883.97
O000172,U00498,2026-04-07,2026-04-07 23:39:00,广东,搜索,paid,1854.35,177.52,1676.83
O000173,U00356,2026-04-07,2026-04-07 18:58:00,浙江,搜索,paid,365.84,37.03,328.81
O000174,U00733,2026-04-07,2026-04-07 19:50:00,湖北,推荐,paid,544.14,69.49,474.65
O000175,U00166,2026-04-07,2026-04-07 23:19:00,湖北,推荐,paid,636.08,108.7,527.38
O000176,U00571,2026-04-07,2026-04-07 11:39:00,山东,自然流量,paid,581.92,43.08,538.84
O000177,U00576,2026-04-07,2026-04-07 12:54:00,四川,自然流量,paid,477.39,52.09,425.3
O000178,U00528,2026-04-07,2026-04-07 11:50:00,山东,推荐,paid,385.4,54.31,331.09
O000179,U00105,2026-04-07,2026-04-07 17:45:00,湖北,直播,paid,501.82,22.64,479.18
O000180,U00519,2026-04-07,2026-04-07 22:26:00,浙江,搜索,paid,152.06,23.69,128.37
O000181,U00007,2026-04-07,2026-04-07 21:23:00,江苏,自然流量,paid,197.01,26.48,170.53
O000182,U00252,2026-04-07,2026-04-07 22:54:00,北京,自然流量,paid,523.06,87.29,435.77
O000183,U00699,2026-04-07,2026-04-07 18:20:00,北京,搜索,paid,283.98,8.84,275.14
O000184,U00791,2026-04-07,2026-04-07 17:26:00,广东,自然流量,paid,941.5,97.13,844.37
O000185,U00698,2026-04-07,2026-04-07 22:41:00,上海,推荐,paid,508.66,67.17,441.49
O000186,U00558,2026-04-07,2026-04-07 14:56:00,北京,推荐,paid,687.84,58.27,629.57
O000187,U00038,2026-04-07,2026-04-07 13:01:00,湖北,推荐,paid,1040.07,107.56,932.51
O000188,U00793,2026-04-07,2026-04-07 11:03:00,四川,搜索,paid,1173.58,118.77,1054.81
O000189,U00128,2026-04-07,2026-04-07 15:22:00,上海,搜索,paid,825.06,147.06,678.0
O000190,U00683,2026-04-07,2026-04-07 14:52:00,湖北,直播,paid,497.13,36.02,461.11
O000191,U00466,2026-04-07,2026-04-07 20:37:00,湖北,自然流量,paid,757.72,59.93,697.79
O000192,U00798,2026-04-07,2026-04-07 21:52:00,江苏,搜索,paid,1302.75,223.62,1079.13
O000193,U00518,2026-04-07,2026-04-07 23:02:00,山东,自然流量,paid,881.64,47.63,834.01
O000194,U00573,2026-04-07,,四川,搜索,cancelled,201.24,13.35,0.0
O000195,U00381,2026-04-07,2026-04-07 09:59:00,北京,搜索,paid,781.32,89.34,691.98
O000196,U00291,2026-04-07,2026-04-07 23:36:00,浙江,自然流量,paid,212.2,5.76,206.44
O000197,U00464,2026-04-07,2026-04-07 22:42:00,广东,广告,paid,275.99,25.87,250.12
O000198,U00746,2026-04-07,2026-04-07 09:42:00,北京,搜索,paid,222.92,16.55,206.37
O000199,U00754,2026-04-07,2026-04-07 11:41:00,北京,自然流量,paid,445.05,59.27,385.78
O000200,U00198,2026-04-07,2026-04-07 13:01:00,北京,广告,paid,864.76,146.83,717.93
O000201,U00211,2026-04-07,2026-04-07 08:21:00,山东,自然流量,paid,488.07,77.07,411.0
O000202,U00425,2026-04-07,2026-04-07 12:11:00,四川,自然流量,paid,564.73,26.49,538.24
O000203,U00092,2026-04-07,,江苏,自然流量,cancelled,594.78,14.48,0.0
O000204,U00400,2026-04-07,2026-04-07 15:31:00,广东,自然流量,paid,887.1,102.48,784.62
O000205,U00517,2026-04-07,2026-04-07 15:58:00,浙江,搜索,paid,514.87,12.68,502.19
O000206,U00276,2026-04-07,2026-04-07 22:05:00,山东,推荐,paid,427.2,47.38,379.82
O000207,U00513,2026-04-07,,江苏,自然流量,cancelled,1230.28,108.02,0.0
O000208,U00002,2026-04-07,,江苏,直播,cancelled,662.97,64.41,0.0
O000209,U00697,2026-04-07,2026-04-07 10:19:00,上海,搜索,paid,1157.94,53.06,1104.88
O000210,U00716,2026-04-07,2026-04-07 18:56:00,北京,自然流量,paid,480.46,48.42,432.04
O000211,U00351,2026-04-07,,广东,推荐,cancelled,410.83,29.81,0.0
O000212,U00003,2026-04-07,2026-04-07 20:34:00,上海,推荐,paid,46.11,6.11,40.0
O000213,U00688,2026-04-07,2026-04-07 15:47:00,北京,搜索,paid,1144.95,104.34,1040.61
O000214,U00629,2026-04-07,2026-04-07 14:00:00,北京,推荐,paid,1287.06,127.23,1159.83
O000215,U00654,2026-04-07,2026-04-07 13:04:00,江苏,搜索,paid,443.68,61.32,382.36
O000216,U00764,2026-04-07,2026-04-07 08:44:00,四川,自然流量,paid,1109.1,70.86,1038.24
O000217,U00630,2026-04-07,2026-04-07 18:27:00,江苏,自然流量,paid,455.29,12.88,442.41
O000218,U00417,2026-04-07,2026-04-07 09:17:00,山东,自然流量,paid,149.01,20.18,128.83
O000219,U00546,2026-04-07,2026-04-07 15:44:00,上海,搜索,paid,297.34,53.06,244.28
O000220,U00077,2026-04-07,2026-04-07 08:37:00,山东,广告,paid,232.8,22.53,210.27
O000221,U00343,2026-04-07,2026-04-07 15:04:00,四川,直播,paid,551.7,56.91,494.79
O000222,U00450,2026-04-08,2026-04-08 10:50:00,上海,直播,paid,455.07,36.58,418.49
O000223,U00453,2026-04-08,2026-04-08 20:25:00,北京,自然流量,paid,323.15,21.71,301.44
O000224,U00771,2026-04-08,2026-04-08 08:29:00,上海,搜索,paid,1538.37,114.36,1424.01
O000225,U00602,2026-04-08,2026-04-08 12:40:00,上海,自然流量,paid,270.03,44.47,225.56
O000226,U00364,2026-04-08,2026-04-08 21:32:00,北京,搜索,paid,50.5,2.04,48.46
O000227,U00773,2026-04-08,2026-04-08 19:00:00,北京,搜索,paid,49.91,3.74,46.17
O000228,U00674,2026-04-08,2026-04-08 14:40:00,浙江,推荐,paid,908.52,46.58,861.94
O000229,U00071,2026-04-08,2026-04-08 18:39:00,广东,搜索,paid,544.48,61.28,483.2
O000230,U00337,2026-04-08,2026-04-08 15:30:00,广东,自然流量,paid,498.79,59.77,439.02
O000231,U00340,2026-04-08,2026-04-08 11:09:00,四川,直播,paid,479.13,11.88,467.25
O000232,U00200,2026-04-08,2026-04-08 16:46:00,山东,推荐,paid,402.47,22.15,380.32
O000233,U00568,2026-04-08,2026-04-08 20:41:00,山东,自然流量,paid,327.86,42.09,285.77
O000234,U00114,2026-04-08,2026-04-08 21:56:00,广东,搜索,paid,461.98,78.81,383.17
O000235,U00122,2026-04-08,,山东,自然流量,cancelled,606.14,35.84,0.0
O000236,U00631,2026-04-08,2026-04-08 12:54:00,北京,推荐,paid,479.5,70.63,408.87
O000237,U00599,2026-04-08,2026-04-08 20:48:00,广东,直播,paid,513.74,24.04,489.7
O000238,U00770,2026-04-08,2026-04-08 23:30:00,四川,搜索,paid,523.14,50.92,472.22
O000239,U00411,2026-04-08,2026-04-08 20:13:00,四川,推荐,paid,371.74,58.77,312.97
O000240,U00387,2026-04-08,,广东,推荐,cancelled,640.05,43.02,0.0
O000241,U00598,2026-04-08,2026-04-08 18:17:00,广东,自然流量,paid,154.59,22.99,131.6
O000242,U00184,2026-04-08,2026-04-08 10:50:00,湖北,搜索,paid,140.19,15.07,125.12
O000243,U00234,2026-04-08,2026-04-08 16:12:00,上海,自然流量,paid,318.23,19.1,299.13
O000244,U00142,2026-04-08,2026-04-08 08:30:00,山东,广告,paid,484.1,82.94,401.16
O000245,U00780,2026-04-08,2026-04-08 22:46:00,湖北,广告,paid,396.18,57.75,338.43
O000246,U00349,2026-04-08,2026-04-08 19:08:00,山东,直播,paid,62.17,6.8,55.37
O000247,U00132,2026-04-08,2026-04-08 20:48:00,北京,搜索,paid,445.93,57.85,388.08
O000248,U00551,2026-04-08,2026-04-08 18:36:00,广东,搜索,paid,396.7,68.4,328.3
O000249,U00618,2026-04-08,2026-04-08 14:30:00,四川,广告,paid,511.93,54.02,457.91
O000250,U00584,2026-04-08,2026-04-08 23:01:00,北京,广告,paid,617.0,15.5,601.5
O000251,U00072,2026-04-08,2026-04-08 08:10:00,山东,广告,paid,251.44,7.34,244.1
O000252,U00421,2026-04-08,,上海,搜索,cancelled,57.43,9.92,0.0
O000253,U00211,2026-04-08,2026-04-08 22:17:00,山东,搜索,paid,98.9,11.27,87.63
O000254,U00147,2026-04-08,2026-04-08 22:29:00,广东,搜索,paid,60.02,9.64,50.38
O000255,U00755,2026-04-08,2026-04-08 21:29:00,江苏,自然流量,paid,1432.8,69.82,1362.98
O000256,U00675,2026-04-08,2026-04-08 17:42:00,浙江,自然流量,paid,61.53,3.93,57.6
O000257,U00715,2026-04-08,2026-04-08 21:28:00,上海,推荐,paid,811.44,117.43,694.01
O000258,U00213,2026-04-08,2026-04-08 20:02:00,江苏,搜索,paid,590.69,92.69,498.0
O000259,U00767,2026-04-08,2026-04-08 16:53:00,上海,搜索,paid,54.83,5.23,49.6
O000260,U00019,2026-04-08,2026-04-08 16:09:00,上海,推荐,paid,188.17,4.1,184.07
O000261,U00183,2026-04-08,2026-04-08 11:24:00,四川,自然流量,paid,463.19,56.31,406.88
O000262,U00455,2026-04-08,2026-04-08 18:52:00,四川,自然流量,paid,346.32,61.74,284.58
O000263,U00686,2026-04-08,,湖北,自然流量,cancelled,555.54,56.67,0.0
O000264,U00576,2026-04-08,2026-04-08 15:04:00,四川,推荐,paid,755.9,40.85,715.05
O000265,U00286,2026-04-08,2026-04-08 11:45:00,湖北,推荐,paid,535.61,53.52,482.09
O000266,U00583,2026-04-08,,江苏,自然流量,cancelled,186.07,24.37,0.0
O000267,U00651,2026-04-08,2026-04-08 08:14:00,上海,直播,paid,1271.42,168.77,1102.65
O000268,U00439,2026-04-08,2026-04-08 09:15:00,江苏,直播,paid,210.67,16.88,193.79
O000269,U00613,2026-04-08,2026-04-08 17:48:00,浙江,广告,paid,445.49,38.48,407.01
O000270,U00553,2026-04-08,2026-04-08 12:13:00,山东,自然流量,paid,1117.94,135.83,982.11
O000271,U00178,2026-04-08,2026-04-08 22:40:00,江苏,推荐,paid,835.42,57.22,778.2
O000272,U00493,2026-04-08,,广东,自然流量,cancelled,601.27,70.65,0.0
O000273,U00160,2026-04-08,2026-04-08 17:38:00,四川,直播,paid,480.11,79.23,400.88
O000274,U00567,2026-04-08,2026-04-08 18:08:00,湖北,推荐,paid,612.59,59.38,553.21
O000275,U00201,2026-04-08,2026-04-08 21:25:00,广东,自然流量,paid,201.43,17.07,184.36
O000276,U00383,2026-04-08,2026-04-08 19:32:00,四川,搜索,paid,1118.13,160.34,957.79
O000277,U00651,2026-04-08,2026-04-08 19:40:00,上海,推荐,paid,397.27,10.14,387.13
O000278,U00029,2026-04-08,2026-04-08 13:00:00,江苏,推荐,paid,1125.88,67.09,1058.79
