item_id,order_id,product_id,quantity,unit_price,item_amount
I0000092,O000068,P0064,1,433.8,433.8
I0000093,O000069,P0013,1,51.69,51.69
I0000094,O000070,P0020,1,574.73,574.73
I0000095,O000071,P0033,1,338.69,338.69
I0000096,O000072,P0015,1,325.97,325.97
I0000097,O000073,P0030,1,555.48,555.48
I0000098,O000074,P0028,2,504.16,1008.32
I0000099,O000075,P0005,1,194.39,194.39
I0000100,O000076,P0022,1,616.98,616.98
I0000101,O000077,P0055,1,397.62,397.62
I0000102,O000078,P0006,1,57.0,57.0
I0000103,O000079,P0064,1,477.75,477.75
I0000104,O000080,P0040,1,175.12,175.12
I0000105,O000081,P0048,1,232.89,232.89
I0000106,O000082,P0070,2,211.59,423.18
I0000107,O000082,P0074,1,418.82,418.82
I0000108,O000083,P0060,1,548.31,548.31
I0000109,O000084,P0062,1,387.9,387.9
I0000110,O000085,P0055,1,382.45,382.45
I0000111,O000086,P0038,1,291.12,291.12
I0000112,O000086,P0058,2,167.05,334.1
I0000113,O000087,P0010,1,172.19,172.19
I0000114,O000088,P0017,1,271.37,271.37
I0000115,O000089,P0043,1,635.74,635.74
I0000116,O000089,P0053,1,210.38,210.38
I0000117,O000089,P0075,1,646.08,646.08
I0000118,O000090,P0037,1,265.95,265.95
I0000119,O000091,P0020,1,577.35,577.35
I0000120,O000091,P0021,1,89.94,89.94
I0000121,O000091,P0031,1,472.17,472.17
I0000122,O000092,P0004,1,420.37,420.37
I0000123,O000093,P0038,1,263.4,263.4
I0000124,O000094,P0006,1,57.91,57.91
I0000125,O000095,P0025,1,350.01,350.01
I0000126,O000096,P0008,2,599.14,1198.28
I0000127,O000097,P0072,1,456.28,456.28
I0000128,O000097,P0012,3,650.18,1950.54
I0000129,O000097,P0028,1,539.45,539.45
I0000130,O000098,P0039,1,592.53,592.53
I0000131,O000099,P0035,1,367.1,367.1
I0000132,O000100,P0039,1,558.85,558.85
I0000133,O000100,P0075,1,548.51,548.51
I0000134,O000101,P0054,1,65.12,65.12
I0000135,O000101,P0023,1,39.55,39.55
I0000136,O000102,P0061,3,266.97,800.91
I0000137,O000103,P0018,1,159.04,159.04
I0000138,O000103,P0046,1,490.12,490.12
I0000139,O000104,P0013,1,45.05,45.05
I0000140,O000105,P0069,1,238.18,238.18
I0000141,O000106,P0020,1,560.48,560.48
I0000142,O000107,P0045,1,316.92,316.92
I0000143,O000108,P0019,1,49.89,49.89
I0000144,O000109,P0006,1,60.65,60.65
I0000145,O000109,P0026,1,280.77,280.77
I0000146,O000110,P0045,1,302.94,302.94
I0000147,O000111,P0065,1,190.19,190.19
I0000148,O000112,P0001,2,566.77,1133.54
I0000149,O000112,P0013,2,47.99,95.98
I0000150,O000113,P0028,1,499.39,499.39
I0000151,O000114,P0072,1,460.8,460.8
I0000152,O000114,P0006,1,56.84,56.84
I0000153,O000115,P0061,1,275.94,275.94
I0000154,O000115,P0048,1,206.38,206.38
I0000155,O000116,P0022,1,574.27,574.27
I0000156,O000116,P0009,1,270.2,270.2
I0000157,O000117,P0075,1,641.18,641.18
I0000158,O000117,P0035,2,352.75,705.5
I0000159,O000118,P0064,1,513.62,513.62
I0000160,O000119,P0010,1,180.89,180.89
I0000161,O000120,P0070,1,218.12,218.12
I0000162,O000121,P0005,1,215.33,215.33
I0000163,O000122,P0015,1,343.34,343.34
I0000164,O000123,P0049,1,508.01,508.01
I0000165,O000124,P0049,1,507.22,507.22
I0000166,O000125,P0009,2,233.69,467.38
I0000167,O000126,P0061,1,275.29,275.29
I0000168,O000127,P0065,2,213.41,426.82
I0000169,O000128,P0069,1,203.82,203.82
I0000170,O000128,P0028,3,498.83,1496.49
I0000171,O000129,P0068,1,270.19,270.19
I0000172,O000130,P0033,1,316.45,316.45
I0000173,O000131,P0035,2,379.37,758.74
I0000174,O000131,P0069,1,210.6,210.6
I0000175,O000131,P0056,1,596.52,596.52
I0000176,O000132,P0053,1,197.87,197.87
I0000177,O000133,P0060,1,556.17,556.17
I0000178,O000133,P0063,1,145.49,145.49
I0000179,O000134,P0063,1,172.72,172.72
I0000180,O000134,P0003,1,548.64,548.64
I0000181,O000135,P0018,1,174.25,174.25
I0000182,O000135,P0031,2,503.59,1007.18
I0000183,O000136,P0075,1,641.76,641.76
I0000184,O000137,P0008,1,600.8,600.8
I0000185,O000138,P0019,1,50.51,50.51
I0000186,O000138,P0047,1,168.51,168.51
I0000187,O000139,P0071,1,626.46,626.46
I0000188,O000140,P0033,1,346.98,346.98
I0000189,O000141,P0053,1,189.41,189.41
I0000190,O000141,P0005,1,212.59,212.59
I0000191,O000142,P0046,1,473.73,473.73
I0000192,O000143,P0018,1,156.65,156.65
I0000193,O000144,P0017,2,285.86,571.72
I0000194,O000145,P0042,2,489.49,978.98
I0000195,O000146,P0030,3,498.87,1496.61
I0000196,O000146,P0012,1,573.15,573.15
I0000197,O000147,P0073,1,430.05,430.05
I0000198,O000148,P0035,1,362.67,362.67
I0000199,O000149,P0019,1,56.76,56.76
I0000200,O000150,P0018,2,182.16,364.32
I0000201,O000151,P0008,1,668.6,668.6
I0000202,O000152,P0065,1,198.5,198.5
I0000203,O000153,P0064,2,507.59,1015.18
I0000204,O000154,P0064,2,452.01,904.02
I0000205,O000154,P0036,2,260.49,520.98
I0000206,O000154,P0047,1,156.15,156.15
I0000207,O000155,P0057,1,160.99,160.99
I0000208,O000155,P0007,1,359.14,359.14
I0000209,O000156,P0059,1,646.55,646.55
I0000210,O000157,P0066,1,492.23,492.23
I0000211,O000157,P0035,1,398.86,398.86
I0000212,O000158,P0004,1,435.44,435.44
I0000213,O000158,P0037,1,297.33,297.33
I0000214,O000159,P0058,1,168.74,168.74
I0000215,O000159,P0042,2,498.17,996.34
I0000216,O000159,P0073,2,432.11,864.22
I0000217,O000160,P0003,2,533.38,1066.76
I0000218,O000161,P0040,1,162.44,162.44
I0000219,O000161,P0017,1,259.36,259.36
I0000220,O000162,P0024,1,264.41,264.41
I0000221,O000162,P0056,1,687.68,687.68
I0000222,O000163,P0011,2,139.52,279.04
I0000223,O000164,P0010,2,180.66,361.32
I0000224,O000165,P0011,1,126.73,126.73
I0000225,O000166,P0041,1,161.28,161.28
I0000226,O000166,P0059,2,586.16,1172.32
I0000227,O000167,P0056,1,567.35,567.35
I0000228,O000168,P0063,1,175.17,175.17
I0000229,O000168,P0039,1,571.36,571.36
I0000230,O000169,P0025,1,381.26,381.26
I0000231,O000169,P0004,1,415.08,415.08
I0000232,O000170,P0020,1,520.29,520.29
I0000233,O000171,P0007,1,370.59,370.59
I0000234,O000171,P0043,1,676.49,676.49
I0000235,O000172,P0063,1,157.69,157.69
I0000236,O000172,P0030,1,484.72,484.72
I0000237,O000172,P0008,2,605.97,1211.94
I0000238,O000173,P0025,1,365.84,365.84
I0000239,O000174,P0050,3,181.38,544.14
I0000240,O000175,P0062,1,344.34,344.34
I0000241,O000175,P0017,1,291.74,291.74
I0000242,O000176,P0046,1,485.4,485.4
I0000243,O000176,P0021,1,96.52,96.52
I0000244,O000177,P0046,1,477.39,477.39
I0000245,O000178,P0057,2,192.7,385.4
I0000246,O000179,P0016,2,250.91,501.82
I0000247,O000180,P0047,1,152.06,152.06
I0000248,O000181,P0065,1,197.01,197.01
I0000249,O000182,P0030,1,523.06,523.06
I0000250,O000183,P0002,1,283.98,283.98
I0000251,O000184,P0020,1,539.67,539.67
I0000252,O000184,P0074,1,401.83,401.83
I0000253,O000185,P0041,1,155.79,155.79
I0000254,O000185,P0045,1,352.87,352.87
I0000255,O000186,P0045,2,343.92,687.84
I0000256,O000187,P0017,3,263.95,791.85
I0000257,O000187,P0067,1,248.22,248.22
I0000258,O000188,P0008,2,586.79,1173.58
I0000259,O000189,P0044,3,275.02,825.06
I0000260,O000190,P0049,1,497.13,497.13
I0000261,O000191,P0011,1,150.91,150.91
I0000262,O000191,P0012,1,606.81,606.81
I0000263,O000192,P0055,3,434.25,1302.75
I0000264,O000193,P0066,2,440.82,881.64
I0000265,O000194,P0053,1,201.24,201.24
I0000266,O000195,P0004,2,390.66,781.32
I0000267,O000196,P0016,1,212.2,212.2
I0000268,O000197,P0017,1,275.99,275.99
I0000269,O000198,P0053,1,222.92,222.92
I0000270,O000199,P0004,1,445.05,445.05
I0000271,O000200,P0073,1,410.26,410.26
I0000272,O000200,P0067,2,227.25,454.5
I0000273,O000201,P0057,2,180.27,360.54
I0000274,O000201,P0011,1,127.53,127.53
I0000275,O000202,P0012,1,564.73,564.73
I0000276,O000203,P0008,1,594.78,594.78
I0000277,O000204,P0034,2,195.4,390.8
I0000278,O000204,P0049,1,496.3,496.3
I0000279,O000205,P0060,1,514.87,514.87
I0000280,O000206,P0072,1,427.2,427.2
I0000281,O000207,P0022,2,615.14,1230.28
I0000282,O000208,P0022,1,662.97,662.97
I0000283,O000209,P0075,2,578.97,1157.94
I0000284,O000210,P0036,2,240.23,480.46
I0000285,O000211,P0035,1,350.28,350.28
I0000286,O000211,P0032,1,60.55,60.55
I0000287,O000212,P0023,1,46.11,46.11
I0000288,O000213,P0049,1,550.98,550.98
I0000289,O000213,P0046,1,409.12,409.12
I0000290,O000213,P0050,1,184.85,184.85
I0000291,O000214,P0064,3,429.02,1287.06
I0000292,O000215,P0064,1,443.68,443.68
I0000293,O000216,P0030,2,554.55,1109.1
I0000294,O000217,P0055,1,455.29,455.29
I0000295,O000218,P0047,1,149.01,149.01
I0000296,O000219,P0011,2,148.67,297.34
I0000297,O000220,P0009,1,232.8,232.8
I0000298,O000221,P0044,2,275.85,551.7
I0000299,O000222,P0011,3,151.69,455.07
I0000300,O000223,P0014,1,323.15,323.15
I0000301,O000224,P0002,1,299.53,299.53
I0000302,O000224,P0059,2,619.42,1238.84
I0000303,O000225,P0009,1,270.03,270.03
I0000304,O000226,P0032,1,50.5,50.5
I0000305,O000227,P0019,1,49.91,49.91
I0000306,O000228,P0072,2,454.26,908.52
I0000307,O000229,P0060,1,544.48,544.48
I0000308,O000230,P0006,1,51.7,51.7
I0000309,O000230,P0064,1,447.09,447.09
I0000310,O000231,P0001,1,479.13,479.13
I0000311,O000232,P0004,1,402.47,402.47
I0000312,O000233,P0034,2,163.93,327.86
I0000313,O000234,P0048,2,230.99,461.98
I0000314,O000235,P0025,1,361.16,361.16
I0000315,O000235,P0069,1,244.98,244.98
I0000316,O000236,P0020,1,479.5,479.5
I0000317,O000237,P0061,2,256.87,513.74
I0000318,O000238,P0042,1,523.14,523.14
I0000319,O000239,P0027,1,371.74,371.74
I0000320,O000240,P0071,1,640.05,640.05
I0000321,O000241,P0058,1,154.59,154.59
I0000322,O000242,P0011,1,140.19,140.19
I0000323,O000243,P0026,1,318.23,318.23
I0000324,O000244,P0034,1,173.28,173.28
I0000325,O000244,P0002,1,310.82,310.82
I0000326,O000245,P0027,1,396.18,396.18
I0000327,O000246,P0054,1,62.17,62.17
I0000328,O000247,P0046,1,445.93,445.93
I0000329,O000248,P0005,2,198.35,396.7
I0000330,O000249,P0049,1,511.93,511.93
I0000331,O000250,P0022,1,617.0,617.0
I0000332,O000251,P0038,1,251.44,251.44
I0000333,O000252,P0054,1,57.43,57.43
I0000334,O000253,P0021,1,98.9,98.9
I0000335,O000254,P0032,1,60.02,60.02
I0000336,O000255,P0045,1,346.62,346.62
I0000337,O000255,P0039,2,543.09,1086.18
I0000338,O000256,P0006,1,61.53,61.53
I0000339,O000257,P0053,1,201.21,201.21
I0000340,O000257,P0071,1,610.23,610.23
I0000341,O000258,P0060,1,590.69,590.69
I0000342,O000259,P0032,1,54.83,54.83
I0000343,O000260,P0051,1,188.17,188.17
I0000344,O000261,P0028,1,463.19,463.19
I0000345,O000262,P0026,1,291.67,291.67
I0000346,O000262,P0032,1,54.65,54.65
I0000347,O000263,P0022,1,555.54,555.54
I0000348,O000264,P0051,1,167.81,167.81
I0000349,O000264,P0055,1,378.44,378.44
I0000350,O000264,P0016,1,209.65,209.65
I0000351,O000265,P0028,1,535.61,535.61
I0000352,O000266,P0050,1,186.07,186.07
I0000353,O000267,P0062,1,399.58,399.58
I0000354,O000267,P0009,1,253.53,253.53
I0000355,O000267,P0043,1,618.31,618.31
I0000356,O000268,P0048,1,210.67,210.67
I0000357,O000269,P0018,1,175.98,175.98
I0000358,O000269,P0036,1,269.51,269.51
I0000359,O000270,P0029,1,325.66,325.66
I0000360,O000270,P0049,1,561.53,561.53
I0000361,O000270,P0067,1,230.75,230.75
I0000362,O000271,P0031,1,498.14,498.14
I0000363,O000271,P0065,1,194.21,194.21
I0000364,O000271,P0011,1,143.07,143.07
I0000365,O000272,P0022,1,601.27,601.27
I0000366,O000273,P0049,1,480.11,480.11
I0000367,O000274,P0059,1,612.59,612.59
I0000368,O000275,P0065,1,201.43,201.43
I0000369,O000276,P0010,3,166.8,500.4
I0000370,O000276,P0053,2,192.77,385.54
I0000371,O000276,P0005,1,232.19,232.19
I0000372,O000277,P0055,1,397.27,397.27
I0000373,O000278,P0059,2,562.94,1125.88
I0000374,O000279,P0011,1,131.51,131.51
I0000375,O000280,P0040,1,185.36,185.36
I0000376,O000281,P0027,2,386.97,773.94
I0000377,O000282,P0037,1,273.08,273.08
I0000378,O000283,P0024,1,269.51,269.51
I0000379,O000283,P0026,1,292.94,292.94
I0000380,O000284,P0011,1,133.95,133.95
I0000381,O000285,P0001,2,475.83,951.66
I0000382,O000285,P0075,1,640.08,640.08
I0000383,O000286,P0044,3,275.6,826.8
I0000384,O000287,P0052,1,572.22,572.22
I0000385,O000288,P0061,1,259.12,259.12
I0000386,O000289,P0030,1,520.05,520.05
I0000387,O000290,P0050,1,177.3,177.3
I0000388,O000290,P0038,2,295.27,590.54
I0000389,O000291,P0060,1,557.31,557.31
I0000390,O000292,P0004,1,456.09,456.09
I0000391,O000293,P0018,2,170.93,341.86
I0000392,O000294,P0049,2,548.4,1096.8
I0000393,O000295,P0025,1,342.25,342.25
I0000394,O000296,P0055,1,443.23,443.23
I0000395,O000296,P0041,2,150.85,301.7
I0000396,O000297,P0038,1,272.42,272.42
I0000397,O000297,P0029,1,306.34,306.34
I0000398,O000298,P0074,1,405.21,405.21
I0000399,O000298,P0062,1,404.62,404.62
I0000400,O000298,P0028,1,541.68,541.68
I0000401,O000299,P0021,3,91.86,275.58
I0000402,O000300,P0025,1,373.89,373.89
I0000403,O000301,P0021,1,89.95,89.95
I0000404,O000302,P0074,1,411.47,411.47
I0000405,O000303,P0023,3,44.04,132.12
I0000406,O000303,P0007,1,394.84,394.84
I0000407,O000303,P0016,1,227.64,227.64
I0000408,O000304,P0012,2,631.58,1263.16
I0000409,O000304,P0060,1,580.36,580.36
I0000410,O000305,P0013,2,45.19,90.38
I0000411,O000306,P0069,1,232.75,232.75
I0000412,O000306,P0024,1,305.62,305.62
I0000413,O000307,P0027,3,426.0,1278.0
I0000414,O000308,P0021,1,86.62,86.62
I0000415,O000309,P0001,1,569.39,569.39
I0000416,O000309,P0032,2,53.24,106.48
I0000417,O000309,P0039,1,513.02,513.02
I0000418,O000310,P0006,1,53.79,53.79
I0000419,O000311,P0055,1,398.78,398.78
I0000420,O000311,P0010,1,168.18,168.18
I0000421,O000312,P0035,3,377.22,1131.66
I0000422,O000313,P0056,1,686.52,686.52
I0000423,O000314,P0047,2,172.81,345.62
I0000424,O000315,P0063,1,155.37,155.37
I0000425,O000316,P0050,2,176.16,352.32
I0000426,O000316,P0024,2,290.5,581.0
I0000427,O000316,P0045,2,319.51,639.02
I0000428,O000317,P0035,1,379.28,379.28
I0000429,O000318,P0060,1,538.31,538.31
I0000430,O000319,P0012,1,561.98,561.98
I0000431,O000320,P0002,3,278.75,836.25
I0000432,O000321,P0052,1,498.87,498.87
I0000433,O000322,P0068,1,313.0,313.0
I0000434,O000322,P0006,1,61.66,61.66
I0000435,O000323,P0044,2,277.71,555.42
I0000436,O000323,P0032,1,55.32,55.32
I0000437,O000323,P0070,1,180.49,180.49
I0000438,O000324,P0063,1,158.9,158.9
I0000439,O000324,P0008,1,568.2,568.2
I0000440,O000324,P0046,1,473.12,473.12
I0000441,O000325,P0016,2,209.42,418.84
I0000442,O000326,P0035,1,358.68,358.68
I0000443,O000327,P0015,1,319.06,319.06
I0000444,O000327,P0025,1,358.0,358.0
I0000445,O000328,P0017,1,290.15,290.15
I0000446,O000329,P0002,1,268.26,268.26
I0000447,O000330,P0011,1,133.15,133.15
I0000448,O000331,P0026,1,326.44,326.44
I0000449,O000331,P0061,1,251.28,251.28
I0000450,O000332,P0055,1,384.73,384.73
I0000451,O000332,P0003,1,561.0,561.0
I0000452,O000333,P0007,1,344.78,344.78
I0000453,O000334,P0042,1,517.64,517.64
I0000454,O000335,P0002,1,298.15,298.15
I0000455,O000336,P0036,1,248.96,248.96
I0000456,O000337,P0025,2,339.23,678.46
I0000457,O000337,P0058,1,152.54,152.54
I0000458,O000338,P0033,2,335.8,671.6
I0000459,O000339,P0054,1,68.41,68.41
I0000460,O000340,P0025,1,362.86,362.86
I0000461,O000341,P0052,1,479.26,479.26
I0000462,O000341,P0035,1,369.71,369.71
I0000463,O000342,P0035,1,339.47,339.47
I0000464,O000343,P0027,1,383.02,383.02
I0000465,O000343,P0069,1,218.06,218.06
I0000466,O000343,P0015,1,357.96,357.96
I0000467,O000344,P0046,1,433.43,433.43
I0000468,O000344,P0029,1,297.86,297.86
I0000469,O000345,P0071,1,602.73,602.73
I0000470,O000346,P0056,1,626.2,626.2
I0000471,O000346,P0048,1,222.06,222.06
I0000472,O000347,P0023,2,44.36,88.72
I0000473,O000348,P0068,1,300.85,300.85
I0000474,O000349,P0006,1,52.61,52.61
I0000475,O000349,P0017,1,282.68,282.68
I0000476,O000350,P0018,1,168.6,168.6
I0000477,O000351,P0070,1,213.07,213.07
I0000478,O000352,P0055,1,406.45,406.45
I0000479,O000353,P0037,1,298.79,298.79
I0000480,O000354,P0024,1,267.66,267.66
I0000481,O000355,P0048,2,237.62,475.24
I0000482,O000356,P0009,1,264.32,264.32
I0000483,O000356,P0015,1,331.94,331.94
I0000484,O000356,P0074,1,410.09,410.09
I0000485,O000357,P0032,1,56.05,56.05
I0000486,O000358,P0074,1,413.46,413.46
I0000487,O000359,P0018,2,152.02,304.04
I0000488,O000360,P0029,1,305.82,305.82
I0000489,O000361,P0075,1,616.39,616.39
I0000490,O000361,P0010,1,167.6,167.6
I0000491,O000362,P0039,1,576.69,576.69
I0000492,O000363,P0065,1,220.16,220.16
I0000493,O000363,P0021,1,97.77,97.77
I0000494,O000364,P0012,1,671.32,671.32
I0000495,O000365,P0010,1,185.24,185.24
I0000496,O000365,P0060,2,525.94,1051.88
I0000497,O000365,P0062,2,380.18,760.36
I0000498,O000366,P0002,1,272.32,272.32
I0000499,O000367,P0006,1,62.36,62.36
I0000500,O000367,P0007,1,351.03,351.03
I0000501,O000368,P0013,1,52.01,52.01
I0000502,O000369,P0021,1,90.34,90.34
I0000503,O000370,P0021,1,95.12,95.12
I0000504,O000370,P0065,1,224.15,224.15
I0000505,O000371,P0050,1,173.89,173.89
I0000506,O000371,P0031,1,466.94,466.94
I0000507,O000372,P0012,1,590.74,590.74
I0000508,O000372,P0064,2,440.66,881.32
I0000509,O000373,P0033,2,349.21,698.42
I0000510,O000373,P0057,1,171.77,171.77
I0000511,O000373,P0018,1,163.53,163.53
I0000512,O000374,P0065,1,221.99,221.99
I0000513,O000375,P0002,2,271.29,542.58
I0000514,O000375,P0020,1,515.5,515.5
I0000515,O000376,P0060,1,527.67,527.67
I0000516,O000377,P0063,1,158.72,158.72
I0000517,O000377,P0028,1,553.82,553.82
I0000518,O000377,P0061,1,236.93,236.93
I0000519,O000378,P0028,2,554.24,1108.48
I0000520,O000379,P0011,1,146.02,146.02
I0000521,O000380,P0044,1,251.62,251.62
I0000522,O000380,P0039,1,549.69,549.69
I0000523,O000381,P0026,1,312.36,312.36
I0000524,O000381,P0010,1,186.03,186.03
I0000525,O000382,P0053,1,215.65,215.65
I0000526,O000383,P0054,1,59.26,59.26
I0000527,O000383,P0070,1,187.97,187.97
I0000528,O000383,P0022,1,665.58,665.58
I0000529,O000384,P0059,1,587.4,587.4
I0000530,O000385,P0023,1,39.92,39.92
I0000531,O000386,P0013,3,51.15,153.45
I0000532,O000387,P0013,1,51.15,51.15
I0000533,O000387,P0057,1,188.82,188.82
I0000534,O000388,P0060,1,598.99,598.99
I0000535,O000389,P0034,1,195.51,195.51
I0000536,O000390,P0067,1,268.02,268.02
I0000537,O000390,P0041,3,154.57,463.71
I0000538,O000391,P0050,3,159.19,477.57
I0000539,O000392,P0051,2,186.58,373.16
I0000540,O000393,P0020,1,530.52,530.52
I0000541,O000393,P0004,3,426.39,1279.17
I0000542,O000394,P0039,1,524.54,524.54
I0000543,O000394,P0025,2,391.33,782.66
I0000544,O000395,P0037,1,273.66,273.66
I0000545,O000396,P0063,3,146.74,440.22
I0000546,O000397,P0023,1,43.88,43.88
I0000547,O000398,P0067,1,266.43,266.43
I0000548,O000399,P0011,1,152.33,152.33
I0000549,O000400,P0064,1,513.99,513.99
I0000550,O000401,P0040,1,166.27,166.27
I0000551,O000402,P0050,1,172.43,172.43
I0000552,O000403,P0068,1,260.0,260.0
I0000553,O000404,P0019,1,47.99,47.99
I0000554,O000405,P0009,1,258.07,258.07
I0000555,O000406,P0074,2,383.45,766.9
I0000556,O000407,P0036,1,235.85,235.85
I0000557,O000408,P0074,2,372.87,745.74
I0000558,O000408,P0001,2,513.19,1026.38
I0000559,O000409,P0039,1,580.09,580.09
I0000560,O000410,P0016,2,252.14,504.28
I0000561,O000411,P0056,1,590.4,590.4
I0000562,O000411,P0029,2,320.88,641.76
I0000563,O000412,P0015,2,315.07,630.14
I0000564,O000412,P0007,1,369.33,369.33
I0000565,O000413,P0019,1,55.85,55.85
I0000566,O000414,P0063,3,154.52,463.56
I0000567,O000415,P0032,1,50.85,50.85
I0000568,O000415,P0027,1,372.48,372.48
I0000569,O000416,P0068,1,276.07,276.07
I0000570,O000417,P0050,2,170.62,341.24
I0000571,O000417,P0058,2,147.71,295.42
I0000572,O000418,P0015,1,341.32,341.32
I0000573,O000418,P0031,1,499.05,499.05
I0000574,O000419,P0065,1,199.78,199.78
I0000575,O000420,P0064,1,435.78,435.78
I0000576,O000421,P0069,1,211.75,211.75
I0000577,O000422,P0027,1,371.78,371.78
I0000578,O000423,P0009,1,244.58,244.58
I0000579,O000424,P0022,1,667.32,667.32
I0000580,O000424,P0002,1,282.36,282.36
I0000581,O000425,P0068,1,266.61,266.61
I0000582,O000425,P0065,1,198.59,198.59
I0000583,O000426,P0033,1,288.68,288.68
I0000584,O000427,P0015,1,345.29,345.29
I0000585,O000428,P0074,1,425.94,425.94
I0000586,O000429,P0070,3,215.09,645.27
I0000587,O000429,P0058,1,170.21,170.21
I0000588,O000430,P0006,1,59.62,59.62
I0000589,O000431,P0015,3,343.91,1031.73
I0000590,O000432,P0037,1,280.25,280.25
I0000591,O000433,P0001,1,485.75,485.75
I0000592,O000434,P0011,1,127.17,127.17
I0000593,O000435,P0034,2,184.57,369.14
I0000594,O000436,P0033,1,300.43,300.43
I0000595,O000436,P0018,1,159.85,159.85
I0000596,O000437,P0065,2,215.26,430.52
I0000597,O000438,P0054,1,58.33,58.33
I0000598,O000439,P0007,1,373.42,373.42
I0000599,O000439,P0051,1,191.47,191.47
I0000600,O000440,P0008,1,626.38,626.38
I0000601,O000441,P0020,1,506.31,506.31
I0000602,O000442,P0020,1,486.55,486.55
I0000603,O000443,P0052,1,498.23,498.23
I0000604,O000444,P0003,1,607.49,607.49
